anio,codigo_comuna,comuna,sector_modelo,sector_origen,trimestre,codigo_indicador,indicador,valor,archivo_origen
2015,8102,CORONEL,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8103,CHIGUAYANTE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8104,FLORIDA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8105,HUALQUI,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8106,LOTA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8107,PENCO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8108,SAN PEDRO DE LA PAZ,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8109,SANTA JUANA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8110,TALCAHUANO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8111,TOMÉ,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8112,HUALPÉN,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8201,LEBU,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8202,ARAUCO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8203,CAÑETE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8204,CONTULMO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8205,CURANILAHUE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8301,LOS ÁNGELES,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8302,ANTUCO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
