codigo_comuna,total_hogares,porcentaje_computador,porcentaje_internet_fija,porcentaje_internet_movil
13108,45569,51.22341942987557,69.44413965634533,89.89664025982576
13109,38159,60.061846484446654,75.8195969496056,88.844047275872
13110,133971,65.37161027386524,80.35395719969247,89.80674922184652
13111,37274,45.86038525513763,69.02130171164887,84.32955947845683
13112,54319,39.55890204164289,68.54691728492793,81.6307369428745
13113,30645,81.94811551639745,87.52488170990374,91.59732419644314
13114,116322,86.24851704750606,91.30001203555648,92.42619624834512
13115,32513,79.69735182849938,84.18478762341218,90.44074677821179
13116,27529,42.83482872607069,64.64092411638636,83.30487849177231
13117,31971,47.9059147352288,66.71671202026836,85.75584123111571
13118,47638,68.26902892648727,80.589025567824,90.76157689239682
13119,167650,64.89591410677006,81.33730987175663,90.40978228452133
13120,108724,83.27048305801847,87.95574114270998,93.15054633751517
13121,32556,47.6041282712864,67.80009829217349,83.55756235409756
13122,76321,59.01521206483144,73.21182898546927,88.94537545367592
13123,69431,89.33617548357363,86.8761792282986,94.35266667626853
13124,74288,54.68850958432048,74.29732931294421,88.1919017876373
13125,65227,59.44317537216184,78.10262621307128,90.80748769681267
13126,45855,52.53298440737106,70.72293097808308,88.7122451204885
13127,56276,48.39363138815836,63.874475797853435,86.44182244651361
13128,46588,48.60693740877479,70.12320769296815,84.53464411436421
13129,33568,55.826978074356525,72.35462345090562,87.0680409914204
13130,60402,74.12999569550676,84.4525015727956,92.45554782954207
13131,25014,44.846885743983364,65.88710322219558,85.27624530263053
13132,31142,88.81574722240062,94.3292017211483,91.52912465480702
13201,183615,59.93845818696729,78.91838902050486,88.69101108297252
13202,9195,61.109298531810765,63.51277868406743,90.78847199564981
13203,6383,56.47814507284976,58.17013943286856,89.98903336988877
13301,51045,59.504358899010676,67.18777549221275,89.75609756097562
13302,45519,55.26263757991169,64.84105538346624,90.88073112326721
13303,6592,50.7129854368932,53.26152912621359,87.54550970873787
13401,99053,54.836299758715036,72.73176986057969,87.74797330721937
13402,37708,60.38506417736289,75.29701920016973,88.50641773628938
13403,7859,58.55706832930399,60.389362514314804,91.53836365949867
13404,25952,49.136868064118374,66.17601726263872,85.01849568434032
13501,46619,46.93794375683734,57.21701452197602,84.4312404813488
13502,2777,51.746489016924734,65.1422398271516,86.24414836154124
13503,12020,50.03327787021631,55.04159733777038,84.47587354409319
13504,5248,45.88414634146341,50.11432926829268,83.9748475609756
13505,3975,34.41509433962264,21.50943396226415,80.17610062893081
13601,24483,53.95172160274476,67.94918923334559,86.74182085528734
13602,12174,46.20502710694924,57.96780022999835,84.79546574667324
13603,13043,50.70919267039792,67.09346009353676,83.83040711492755
13604,26172,58.96759896072138,75.89408528198074,88.52972642518722
13605,30805,57.20175296218146,71.38776172699237,88.3622788508359
14101,63322,61.083035911689464,71.49647831717255,87.51776633713402
14102,2133,33.94280356305673,15.142991092358182,82.65353961556492
14103,6435,38.25951825951826,37.21833721833722,78.46153846153847
14104,7910,41.02402022756005,31.150442477876105,81.74462705436156
14105,2954,44.211238997968856,31.65199729180772,84.46174678402166
14106,8230,38.6269744835966,34.0947752126367,80.70473876063183
14107,7304,37.363088718510404,34.54271631982475,77.50547645125958
14108,13326,36.222422332282754,25.371454299864926,80.5042773525439
14201,14616,44.10235358511221,44.47865353037767,81.15079365079364
14202,5763,39.89241714384869,33.78448724622592,83.22054485511019
14203,4090,33.32518337408313,16.577017114914426,78.50855745721272
