codigo_comuna,poblacion_total,promedio_edad,porcentaje_menores_15,porcentaje_adultos_mayores,porcentaje_discapacidad,promedio_escolaridad,porcentaje_alfabetizacion
6304,7791,41.85688615068669,15.954306250802208,19.278654858169684,13.437457923791571,8.75318164288469,90.54545454545455
6305,18723,38.99818405170112,17.5986754259467,15.248624686214814,12.23386279148361,9.096192061872282,93.68444795308447
6306,13060,40.72159264931087,16.531393568147013,17.08269525267994,15.794122370322789,8.892340818209782,93.22837175676761
6307,12493,40.95653565996958,16.393180180901304,17.233650844472905,15.56208053691275,9.196326890688908,92.95845572807386
6308,9438,39.727696545878366,17.365967365967368,16.454757363848273,15.189732142857142,8.982121953815048,93.71511498102255
6309,4559,,,,13.737142857142857,8.77628979143798,92.50114311842707
6310,41209,39.330777257395226,17.717003567181926,15.625227498847337,13.045586808923376,9.713993672426382,94.19786505950253
7101,232131,38.01954069038603,17.406119820273897,14.665425987911998,11.832680737274377,10.624128412139177,95.69961985841434
7102,47004,38.021444983405665,19.10901199897881,14.00519104757042,13.540961408259985,9.246723720052335,94.1131308569493
7103,9519,45.09864481563189,13.026578422103164,23.96260111356235,16.930121007304045,8.487484223811528,92.71617053756405
7104,3990,,,,16.441977266719533,8.172734120010043,89.65882041787887
7105,61081,33.9068450090863,22.386666884956043,8.369214649399977,10.838427947598253,9.803376610554377,94.79736460390417
7106,9229,40.23166106837144,17.867591288330264,17.379997832917976,16.094986807387862,8.778057042946125,92.09831170322728
7107,9181,41.021784119376974,15.749918309552335,17.525324038775732,11.342090234151915,8.918329516955621,91.77424882897293
7108,14276,40.69207060801345,17.07761277668815,17.33678901653124,13.622974963181148,8.37073273738298,91.51930445033894
7109,47380,38.57363866610384,18.7378640776699,15.314478682988602,14.868341573636995,8.67746520706042,93.0180482780241
7110,11230,38.5206589492431,18.958147818343722,15.565449688334818,17.86183593016707,8.861252568569641,93.12805107022155
7201,42798,40.75989532221132,17.617645684377774,18.71349128463947,12.917485265225933,9.148729359409767,93.37727172122077
7202,9446,41.55441456701249,16.61020537793775,18.494600889265296,14.329840044125758,8.35702934632906,91.5057915057915
7203,8578,41.48484495220331,17.45162042434134,20.016320820704127,14.856230031948881,9.295840656121852,93.11108377414196
7301,159968,37.92989222844569,18.49119823964793,13.687112422484496,11.834901117458474,10.01571502089897,95.32717068339386
7302,10775,42.17614849187935,15.805104408352669,20.01856148491879,14.85119626531803,8.7467362924282,91.38299941645595
7303,6892,41.772054556006964,15.88798607080673,18.717353453279166,12.317739975698663,9.370601919162548,93.98084815321477
7304,48949,38.80009806124742,18.004453614987025,15.499805920447812,13.752176998000387,9.182527461246279,93.82246026112581
7305,11266,40.188975679034264,16.900408308183916,16.74063554056453,15.50632911392405,8.843797310535221,92.45880271855506
7306,17233,38.41345093715546,18.377531480299425,13.955782510300004,12.702586997737143,9.014717003083009,93.27417380660955
7307,19427,39.924074741339375,16.770474082462552,16.003500283111133,11.066551051376544,8.584817970565453,92.33438143771008
7308,30113,39.79855876199648,17.108889848238302,15.989771859329856,12.763661677688825,8.653953674121405,92.2099178158518
7309,4716,,,,15.940747291620605,9.16624040920716,93.05309734513274
7401,96744,39.07444389316133,18.31741503349045,15.713635987761515,13.971947374143742,9.811550404503016,95.0820742804894
7402,22637,39.32036047179397,18.32840040641428,16.65415028493175,14.161432891370085,8.82293378336368,93.29728721916659
7403,33299,40.12615994474309,17.52605183338839,16.459953752364935,15.646538096743598,8.316128643700313,92.14421252371916
7404,45323,39.88661386051232,18.202678551728702,17.095073141672,13.573580533024336,9.130102153628444,93.08849783218567
7405,22310,40.55253249663828,17.45405647691618,17.12684894666069,14.926567501412164,8.430682839173405,92.72667357122681
7406,49559,38.35472870719748,19.106519502007707,15.32920357553623,13.602251407129456,9.041293148906826,93.5427387841387
7407,17919,40.17221943188794,18.064624141972207,17.891623416485295,17.104178928781636,8.841062205254884,93.2088585227942
7408,20035,39.24811579735463,18.23808335413027,15.632642874968806,14.376476765555262,8.350766456266907,92.10595469595837
8101,230375,38.66546283233858,13.83049376017363,14.790233315246882,10.63190067548627,11.87867855306615,97.17247026569731
8102,123648,36.909784226190474,20.009219720496894,12.68762939958592,13.583666769262337,9.860570261795377,95.10953712970804
8103,85822,39.308941763184265,16.605299340495446,15.342219943604205,12.235957387091657,11.056093883323788,96.65490593448988
8104,12958,42.047769717549,15.835777126099707,19.239080104954468,15.368472031640973,9.151728404609079,92.18283130097714
8105,25795,37.9700329521225,18.9532855204497,14.072494669509595,14.968517458500285,9.364089387214825,93.77532228360957
8106,39980,40.48341670835418,16.538269134567287,17.24112056028014,17.02646057112916,9.442018997017618,94.18455329297377
8107,48971,39.000714708705154,17.40826203263156,15.429539931796368,14.429659421530037,10.11330170157068,95.53590545111977
8108,150992,35.819182473243615,20.09642894987814,10.857528875702025,10.079497497301011,10.905819993216326,95.90373783922172
8109,14947,39.77165986485582,18.083896434067036,16.685622532949758,15.828195067264575,8.960375460945357,92.87217623123334
8110,147322,39.42914839603046,16.432712018571564,16.226361303810698,12.348857719992033,10.81868677930105,96.34105547845272
8111,56907,40.69237527896392,16.266891595058606,17.7025673467236,15.818815331010452,10.130413359846552,95.41843268930845
8112,87731,39.866238843738245,15.855284904993674,15.938493804926424,13.237861137829077,10.835248779260581,96.45853635348085
8201,25246,38.12287094985344,18.77129050146558,14.319100055454328,16.113606121091152,9.033042443474812,93.7918695127533
8202,37163,38.47019885369857,18.397330678362888,14.371821435298548,14.29622086444897,9.351641244003666,93.97866500664949
8203,34640,38.2429272517321,19.63337182448037,14.9364896073903,15.135661272660908,8.848945831043757,93.41107694181409
8204,5905,,,,19.783917817924195,8.737727195515543,92.72920730625998
8205,31119,38.59603457694656,18.8470066518847,15.064751438028216,12.86692427632025,9.184053027865371,93.77013599213213
8206,21950,37.40168564920273,20.145785876993166,13.398633257403189,12.266961368441285,8.722077684969648,93.52123514982445
8207,10208,36.02360893416928,20.895376175548588,12.176724137931034,14.956377233070212,8.159768536681051,91.64933444259567
8301,219441,37.57602271225523,19.099894732524916,13.42775506856057,12.051002804575988,9.938372236630851,94.68683838671251
8302,4373,,,,15.56829035339064,9.321067157313708,94.83870967741936
8303,31256,39.058996672638855,17.68300486306629,14.800358331200409,14.308297736369447,9.187119707935695,93.3147163717112
8304,23706,39.552560533198346,17.885767316291236,16.645574959925757,16.766387448477595,9.275459733671529,92.75169570421599
8305,29036,39.18731918997107,18.0844468935115,16.279790604766497,13.881655092592593,8.819762027935852,92.95147809096501
8306,26140,38.768745218056615,18.618974751338943,15.33664881407804,12.97537343560759,9.269199831462826,93.357024593143
8307,10723,38.99309894619043,18.362398582486243,15.36883334887625,17.23188833185884,8.678444569078332,92.64575754596402
8308,4440,,,,19.853808064135816,8.674350282485875,93.11158292050011
8309,9700,41.97092783505155,16.216494845360824,20.443298969072167,14.78270293703262,8.808923776079322,93.15618221258134
8310,3575,,,,14.622093023255815,9.609879315183834,93.98080837452748
8311,14075,39.557158081705154,17.57726465364121,17.044404973357015,15.931848752055,8.930987821380244,92.96395992223717
8312,15729,40.6849767944561,16.936868205226016,18.69794646830695,16.61001133106712,9.264531359663115,94.07960530702046
8313,23170,42.16573154941735,15.994820889080707,19.84894259818731,15.541211519364447,9.151883406132422,92.65814783040592
8314,6016,33.287898936170215,23.636968085106382,9.158909574468085,15.734513274336285,7.2039254823685965,85.86628834899805
9101,292518,37.40541778625589,17.382178190743815,13.278499100910029,11.44219394673822,11.019767041146874,96.37756262797342
9102,24957,39.79717113435108,18.32351644829106,17.83467564210442,16.86320754716981,8.394848228322651,92.47910863509749
9103,19177,41.47197163268499,16.999530687803098,20.076132867497524,15.379995632234111,9.077036181273959,94.37274417587224
9104,7733,38.134876503297555,19.95344626923574,14.560972455709297,13.676148796498905,8.35909090909091,93.02230127240388
9105,26164,40.505962391071705,16.729093410793457,17.50496865922642,13.65079365079365,8.788386848682945,93.40707964601769
9106,12710,38.92525570416994,19.2918961447679,16.160503540519276,16.018249688925756,8.030133312297862,90.97400979822304
